case_no,checking_account,credit_history,purpose,credit_amount,savings,employment_duration,gender_status,age,job,risk
658,,existing paid,radio/tv,10222,no known savings,4<=X<7,male single,37,skilled,good
659,,no credits/all paid,business,4221,<100,1<=X<4,female div/dep/mar,28,skilled,good
660,,critical/other existing credit,furniture/equipment,6361,<100,>=7,male single,41,skilled,good
661,High,existing paid,radio/tv,1297,<100,1<=X<4,male mar/wid,23,skilled,good
662,,existing paid,new car,900,no known savings,1<=X<4,male mar/wid,23,skilled,bad
663,,existing paid,furniture/equipment,2241,<100,>=7,male single,50,skilled,good
664,,delayed previously,furniture/equipment,1050,<100,unemployed,male single,35,high qualify/self emp/mgm,good
665,High,critical/other existing credit,education,1047,<100,1<=X<4,female div/dep/mar,50,unskilled resident,good
666,,critical/other existing credit,other,6314,<100,unemployed,male single,27,high qualify/self emp/mgm,good
667,,all paid,furniture/equipment,3496,>=1000,1<=X<4,male single,34,skilled,good
668,,all paid,business,3609,<100,1<=X<4,female div/dep/mar,27,skilled,good
669,,critical/other existing credit,new car,4843,<100,>=7,male single,43,skilled,bad
670,High,critical/other existing credit,radio/tv,3017,<100,>=7,male single,47,skilled,good
671,,critical/other existing credit,business,4139,100<=X<500,1<=X<4,male single,27,unskilled resident,good
672,,existing paid,business,5742,100<=X<500,4<=X<7,male single,31,skilled,good
673,,existing paid,new car,10366,<100,>=7,male single,42,high qualify/self emp/mgm,good
674,,critical/other existing credit,new car,2080,500<=X<1000,1<=X<4,male mar/wid,24,skilled,good
675,,delayed previously,business,2580,500<=X<1000,<1,male single,41,unskilled resident,bad
676,,critical/other existing credit,radio/tv,4530,<100,4<=X<7,female div/dep/mar,26,high qualify/self emp/mgm,good
677,,critical/other existing credit,furniture/equipment,5150,<100,>=7,male single,33,skilled,good
678,,existing paid,radio/tv,5595,100<=X<500,1<=X<4,male mar/wid,24,skilled,bad
679,,existing paid,radio/tv,2384,<100,>=7,male single,64,unskilled resident,good
680,,existing paid,radio/tv,1453,<100,<1,female div/dep/mar,26,skilled,good
681,,existing paid,education,1538,<100,<1,female div/dep/mar,56,skilled,good
682,,existing paid,radio/tv,2279,no known savings,1<=X<4,male single,37,skilled,good
683,,delayed previously,radio/tv,1478,<100,1<=X<4,male mar/wid,33,skilled,good
684,,critical/other existing credit,radio/tv,5103,<100,<1,male mar/wid,47,skilled,good
685,,delayed previously,business,9857,100<=X<500,4<=X<7,male single,31,unskilled resident,good
686,,existing paid,new car,6527,no known savings,1<=X<4,male single,34,skilled,good
687,High,critical/other existing credit,radio/tv,1347,no known savings,4<=X<7,male single,27,skilled,good
688,,delayed previously,new car,2862,100<=X<500,>=7,male single,30,skilled,good
689,,existing paid,radio/tv,2753,100<=X<500,>=7,male single,35,skilled,good
690,,existing paid,new car,3651,>=1000,1<=X<4,male single,31,skilled,good
691,,critical/other existing credit,furniture/equipment,975,<100,1<=X<4,male div/sep,25,skilled,good
692,,existing paid,repairs,2631,100<=X<500,1<=X<4,female div/dep/mar,25,unskilled resident,good
693,,existing paid,radio/tv,2896,100<=X<500,<1,male single,29,skilled,good
694,,critical/other existing credit,new car,4716,no known savings,<1,male single,44,unskilled resident,good
695,,existing paid,radio/tv,2284,<100,4<=X<7,male single,28,skilled,good
696,,existing paid,used car,1236,500<=X<1000,1<=X<4,male single,50,skilled,good
697,,existing paid,radio/tv,1103,<100,4<=X<7,male single,29,skilled,good
698,,critical/other existing credit,new car,926,<100,unemployed,female div/dep/mar,38,enemy/unskilled non res,good
699,,critical/other existing credit,radio/tv,1800,<100,1<=X<4,male single,24,skilled,good
700,High,existing paid,education,1905,<100,>=7,male single,40,high qualify/self emp/mgm,good
701,,existing paid,furniture/equipment,1123,500<=X<1000,1<=X<4,female div/dep/mar,29,unskilled resident,bad
702,,critical/other existing credit,used car,6331,<100,>=7,male single,46,skilled,bad
703,High,existing paid,radio/tv,1377,100<=X<500,>=7,female div/dep/mar,47,skilled,good
704,,delayed previously,business,2503,100<=X<500,>=7,male single,41,skilled,good
705,,existing paid,business,2528,<100,<1,female div/dep/mar,32,skilled,good
706,,existing paid,new car,5324,500<=X<1000,>=7,female div/dep/mar,35,skilled,good
707,,existing paid,new car,6560,100<=X<500,4<=X<7,male single,24,skilled,bad
708,,no credits/all paid,furniture/equipment,2969,<100,<1,female div/dep/mar,25,skilled,bad
709,,existing paid,radio/tv,1206,<100,>=7,female div/dep/mar,25,skilled,good
710,,existing paid,radio/tv,2118,<100,1<=X<4,male single,37,unskilled resident,good
711,,critical/other existing credit,radio/tv,629,500<=X<1000,>=7,male single,32,high qualify/self emp/mgm,good
712,,all paid,education,1198,<100,>=7,female div/dep/mar,35,skilled,bad
713,,existing paid,used car,2476,no known savings,>=7,male single,46,high qualify/self emp/mgm,good
714,,critical/other existing credit,radio/tv,1138,<100,1<=X<4,male single,25,unskilled resident,good
715,,existing paid,new car,14027,<100,4<=X<7,male single,27,high qualify/self emp/mgm,bad
716,,critical/other existing credit,used car,7596,no known savings,>=7,male single,63,skilled,good
717,,critical/other existing credit,radio/tv,3077,no known savings,>=7,male single,40,skilled,good
718,,existing paid,radio/tv,1505,<100,1<=X<4,male single,32,high qualify/self emp/mgm,good
719,High,critical/other existing credit,radio/tv,3148,no known savings,1<=X<4,male single,31,skilled,good
720,,no credits/all paid,used car,6148,100<=X<500,>=7,male mar/wid,31,skilled,good
721,High,no credits/all paid,radio/tv,1337,<100,<1,male single,34,high qualify/self emp/mgm,bad
722,,all paid,education,433,>=1000,<1,female div/dep/mar,24,skilled,bad
723,,existing paid,new car,1228,<100,1<=X<4,female div/dep/mar,24,unskilled resident,bad
724,,existing paid,radio/tv,790,500<=X<1000,1<=X<4,female div/dep/mar,66,unskilled resident,good
725,,existing paid,new car,2570,<100,1<=X<4,female div/dep/mar,21,skilled,bad
726,,critical/other existing credit,new car,250,>=1000,1<=X<4,female div/dep/mar,41,unskilled resident,good
727,,critical/other existing credit,radio/tv,1316,500<=X<1000,1<=X<4,male mar/wid,47,unskilled resident,good
728,,existing paid,radio/tv,1882,<100,1<=X<4,female div/dep/mar,25,skilled,bad
729,,all paid,business,6416,<100,>=7,female div/dep/mar,59,skilled,bad
730,High,critical/other existing credit,business,1275,>=1000,1<=X<4,male div/sep,36,skilled,good
731,,delayed previously,radio/tv,6403,<100,<1,male single,33,skilled,good
732,,existing paid,radio/tv,1987,<100,1<=X<4,male single,21,unskilled resident,bad
733,,existing paid,radio/tv,760,<100,4<=X<7,female div/dep/mar,44,unskilled resident,good
734,,existing paid,used car,2603,>=1000,1<=X<4,female div/dep/mar,28,skilled,good
735,,critical/other existing credit,new car,3380,<100,4<=X<7,female div/dep/mar,37,skilled,good
736,,all paid,domestic appliance,3990,no known savings,<1,female div/dep/mar,29,enemy/unskilled non res,good
737,,existing paid,used car,11560,<100,1<=X<4,female div/dep/mar,23,high qualify/self emp/mgm,bad
738,,existing paid,new car,4380,100<=X<500,1<=X<4,male single,35,unskilled resident,good
739,,critical/other existing credit,new car,6761,<100,4<=X<7,male single,45,high qualify/self emp/mgm,good
740,,no credits/all paid,business,4280,100<=X<500,1<=X<4,female div/dep/mar,26,unskilled resident,bad
741,,all paid,new car,2325,100<=X<500,4<=X<7,male single,32,skilled,good
742,,all paid,radio/tv,1048,<100,1<=X<4,male single,23,unskilled resident,good
743,,existing paid,radio/tv,3160,no known savings,>=7,male single,41,skilled,good
744,,all paid,furniture/equipment,2483,500<=X<1000,1<=X<4,male single,22,skilled,good
745,,critical/other existing credit,furniture/equipment,14179,no known savings,4<=X<7,male single,30,high qualify/self emp/mgm,good
746,,critical/other existing credit,business,1797,<100,<1,male single,28,unskilled resident,good
747,,existing paid,new car,2511,<100,unemployed,female div/dep/mar,23,skilled,good
748,,existing paid,new car,1274,<100,<1,female div/dep/mar,37,unskilled resident,bad
749,,existing paid,used car,5248,no known savings,1<=X<4,male single,26,skilled,good
750,,existing paid,used car,3029,<100,4<=X<7,male single,33,skilled,good
751,,existing paid,furniture/equipment,428,<100,>=7,female div/dep/mar,49,skilled,good
752,,existing paid,new car,976,<100,<1,female div/dep/mar,23,unskilled resident,bad
753,,existing paid,business,841,100<=X<500,4<=X<7,female div/dep/mar,23,unskilled resident,good
754,,critical/other existing credit,radio/tv,5771,<100,4<=X<7,female div/dep/mar,25,skilled,good
755,,delayed previously,repairs,1555,>=1000,>=7,male single,55,skilled,bad
756,,existing paid,new car,1285,no known savings,4<=X<7,female div/dep/mar,32,skilled,bad
757,High,critical/other existing credit,new car,1299,<100,1<=X<4,male single,74,enemy/unskilled non res,good
758,High,critical/other existing credit,radio/tv,1271,no known savings,1<=X<4,male single,39,skilled,bad
759,,existing paid,new car,1393,<100,1<=X<4,male single,31,skilled,good
760,,critical/other existing credit,new car,691,<100,>=7,male single,35,skilled,bad
761,,critical/other existing credit,new car,5045,no known savings,>=7,female div/dep/mar,59,skilled,good
762,,critical/other existing credit,furniture/equipment,2124,<100,1<=X<4,female div/dep/mar,24,skilled,bad
763,,existing paid,radio/tv,2214,<100,1<=X<4,male single,24,unskilled resident,good
764,,critical/other existing credit,new car,12680,no known savings,>=7,male single,30,high qualify/self emp/mgm,bad
765,,critical/other existing credit,new car,2463,100<=X<500,4<=X<7,male mar/wid,27,skilled,good
766,,existing paid,radio/tv,1155,<100,>=7,male mar/wid,40,unskilled resident,good
767,,existing paid,furniture/equipment,3108,<100,<1,male div/sep,31,unskilled resident,bad
768,,existing paid,used car,2901,no known savings,<1,female div/dep/mar,31,skilled,good
769,,critical/other existing credit,furniture/equipment,3617,<100,>=7,male single,28,skilled,good
770,,critical/other existing credit,radio/tv,1655,<100,>=7,male single,63,unskilled resident,good
771,,existing paid,used car,2812,no known savings,>=7,female div/dep/mar,26,skilled,good
772,,critical/other existing credit,education,8065,<100,1<=X<4,female div/dep/mar,25,high qualify/self emp/mgm,bad
773,,critical/other existing credit,used car,3275,<100,>=7,male single,36,high qualify/self emp/mgm,good
774,,critical/other existing credit,radio/tv,2223,100<=X<500,>=7,male single,52,skilled,good
775,High,critical/other existing credit,new car,1480,500<=X<1000,unemployed,male single,66,enemy/unskilled non res,good
776,,existing paid,new car,1371,no known savings,1<=X<4,female div/dep/mar,25,skilled,bad
777,,critical/other existing credit,new car,3535,<100,4<=X<7,male single,37,skilled,good
778,,existing paid,radio/tv,3509,<100,4<=X<7,female div/dep/mar,25,skilled,good
779,,critical/other existing credit,used car,5711,>=1000,>=7,male single,38,high qualify/self emp/mgm,good
780,,existing paid,repairs,3872,<100,unemployed,female div/dep/mar,67,skilled,good
781,,critical/other existing credit,radio/tv,4933,<100,4<=X<7,male single,25,skilled,bad
782,,critical/other existing credit,new car,1940,>=1000,>=7,male single,60,skilled,good
783,,no credits/all paid,retaining,1410,<100,1<=X<4,male single,31,unskilled resident,good
784,,existing paid,new car,836,100<=X<500,<1,female div/dep/mar,23,unskilled resident,bad
785,,existing paid,used car,6468,no known savings,unemployed,male div/sep,60,high qualify/self emp/mgm,good
786,,existing paid,business,1941,>=1000,1<=X<4,male single,35,unskilled resident,good
787,,existing paid,radio/tv,2675,500<=X<1000,>=7,male single,40,skilled,good
788,,critical/other existing credit,used car,2751,no known savings,>=7,male single,38,skilled,good
789,,delayed previously,education,6224,<100,>=7,male single,50,skilled,bad
790,,critical/other existing credit,education,5998,<100,1<=X<4,male single,27,skilled,bad
791,,existing paid,business,1188,<100,>=7,female div/dep/mar,39,skilled,bad
792,,existing paid,used car,6313,no known savings,>=7,male single,41,high qualify/self emp/mgm,good
793,,critical/other existing credit,furniture/equipment,1221,no known savings,1<=X<4,male mar/wid,27,skilled,good
794,High,existing paid,furniture/equipment,2892,<100,>=7,male div/sep,51,skilled,good
795,,existing paid,furniture/equipment,3062,500<=X<1000,>=7,male single,32,skilled,good
796,,existing paid,furniture/equipment,2301,100<=X<500,<1,female div/dep/mar,22,skilled,good
797,,existing paid,used car,7511,no known savings,>=7,male single,51,skilled,bad
798,,critical/other existing credit,furniture/equipment,1258,<100,<1,female div/dep/mar,22,unskilled resident,good
799,,delayed previously,new car,717,no known savings,>=7,male mar/wid,54,skilled,good
800,,existing paid,new car,1549,no known savings,<1,male single,35,enemy/unskilled non res,good
801,,critical/other existing credit,education,1597,<100,>=7,male single,54,skilled,good
802,,critical/other existing credit,radio/tv,1795,<100,>=7,female div/dep/mar,48,unskilled resident,good
803,,critical/other existing credit,furniture/equipment,4272,<100,>=7,female div/dep/mar,24,skilled,good
804,,critical/other existing credit,radio/tv,976,no known savings,>=7,male single,35,skilled,good
805,,existing paid,new car,7472,no known savings,unemployed,female div/dep/mar,24,enemy/unskilled non res,good
806,,existing paid,new car,9271,<100,4<=X<7,male single,24,skilled,bad
807,,existing paid,radio/tv,590,<100,<1,male mar/wid,26,unskilled resident,good
808,,critical/other existing credit,radio/tv,930,no known savings,>=7,male single,65,skilled,good
809,,all paid,used car,9283,<100,unemployed,male single,55,high qualify/self emp/mgm,good
810,,no credits/all paid,new car,1778,<100,<1,female div/dep/mar,26,enemy/unskilled non res,bad
811,,existing paid,business,907,<100,<1,male mar/wid,26,skilled,good
812,,existing paid,radio/tv,484,<100,4<=X<7,male mar/wid,28,unskilled resident,good
813,,critical/other existing credit,used car,9629,<100,4<=X<7,male single,24,skilled,bad
814,,existing paid,domestic appliance,3051,<100,1<=X<4,male single,54,skilled,bad
815,,existing paid,new car,3931,<100,4<=X<7,male single,46,skilled,bad
816,,delayed previously,new car,7432,<100,1<=X<4,female div/dep/mar,54,skilled,good
817,,existing paid,domestic appliance,1338,500<=X<1000,1<=X<4,male div/sep,62,skilled,good
818,,critical/other existing credit,radio/tv,1554,<100,4<=X<7,female div/dep/mar,24,skilled,good
819,,existing paid,other,15857,<100,unemployed,male div/sep,43,high qualify/self emp/mgm,good
820,,existing paid,radio/tv,1345,<100,1<=X<4,male mar/wid,26,skilled,bad
821,,existing paid,new car,1101,<100,1<=X<4,male mar/wid,27,skilled,1
822,High,existing paid,radio/tv,3016,<100,1<=X<4,male mar/wid,24,skilled,good
823,,existing paid,furniture/equipment,2712,<100,>=7,male single,41,skilled,bad
824,,critical/other existing credit,new car,731,<100,>=7,male single,47,unskilled resident,good
825,,critical/other existing credit,furniture/equipment,3780,<100,<1,male div/sep,35,high qualify/self emp/mgm,good
826,,critical/other existing credit,new car,1602,<100,>=7,male mar/wid,30,skilled,good
827,,critical/other existing credit,new car,3966,<100,>=7,female div/dep/mar,33,skilled,bad
828,,no credits/all paid,business,4165,<100,1<=X<4,male single,36,skilled,bad
829,,existing paid,used car,8335,no known savings,>=7,male single,47,skilled,bad
830,,delayed previously,business,6681,no known savings,1<=X<4,male single,38,skilled,good
831,,delayed previously,business,2375,500<=X<1000,1<=X<4,male single,44,skilled,good
832,,existing paid,new car,1216,<100,<1,female div/dep/mar,23,skilled,bad
833,,no credits/all paid,business,11816,<100,>=7,male single,29,skilled,bad
834,,existing paid,radio/tv,5084,no known savings,>=7,female div/dep/mar,42,skilled,good
835,High,existing paid,radio/tv,2327,<100,<1,female div/dep/mar,25,unskilled resident,bad
836,,no credits/all paid,new car,1082,<100,1<=X<4,male single,48,skilled,bad
837,,existing paid,radio/tv,886,no known savings,1<=X<4,female div/dep/mar,21,skilled,good
838,,existing paid,furniture/equipment,601,<100,<1,female div/dep/mar,23,unskilled resident,good
839,,critical/other existing credit,used car,2957,<100,>=7,male single,63,skilled,good
840,,critical/other existing credit,radio/tv,2611,<100,>=7,male mar/wid,46,skilled,good
841,,existing paid,furniture/equipment,5179,<100,4<=X<7,male single,29,skilled,bad
842,,delayed previously,used car,2993,<100,1<=X<4,male single,28,unskilled resident,good
843,,existing paid,repairs,1943,<100,<1,female div/dep/mar,23,skilled,bad
844,,all paid,business,1559,<100,4<=X<7,male single,50,skilled,good
845,,existing paid,furniture/equipment,3422,<100,>=7,male single,47,skilled,good
846,,existing paid,furniture/equipment,3976,no known savings,4<=X<7,male single,35,skilled,good
847,,existing paid,new car,6761,no known savings,1<=X<4,male single,68,skilled,bad
848,,existing paid,new car,1249,<100,<1,male mar/wid,28,skilled,good
849,,existing paid,radio/tv,1364,<100,4<=X<7,male single,59,skilled,good
850,,existing paid,radio/tv,709,<100,>=7,male single,57,unskilled resident,bad
851,,critical/other existing credit,new car,2235,<100,1<=X<4,male mar/wid,33,skilled,bad
852,,critical/other existing credit,used car,4042,no known savings,4<=X<7,male single,43,skilled,good
853,,critical/other existing credit,radio/tv,1471,<100,1<=X<4,male single,35,skilled,good
854,,all paid,new car,1442,<100,4<=X<7,male single,32,unskilled resident,bad
855,,delayed previously,new car,10875,<100,>=7,male single,45,skilled,good
856,,existing paid,new car,1474,100<=X<500,<1,male mar/wid,33,skilled,good
857,,existing paid,retaining,894,no known savings,4<=X<7,female div/dep/mar,40,skilled,good
858,,critical/other existing credit,furniture/equipment,3343,<100,1<=X<4,male single,28,skilled,good
859,,existing paid,new car,3959,<100,1<=X<4,female div/dep/mar,29,skilled,bad
860,,existing paid,new car,3577,100<=X<500,1<=X<4,male single,26,skilled,good
861,,critical/other existing credit,used car,5804,>=1000,1<=X<4,male single,27,skilled,good
862,,delayed previously,business,2169,<100,1<=X<4,male mar/wid,28,skilled,bad
863,,existing paid,radio/tv,2439,<100,<1,female div/dep/mar,35,skilled,bad
864,,critical/other existing credit,furniture/equipment,4526,>=1000,<1,male single,32,unskilled resident,good
865,,existing paid,furniture/equipment,2210,<100,1<=X<4,male single,25,unskilled resident,bad
866,,existing paid,furniture/equipment,2221,500<=X<1000,1<=X<4,female div/dep/mar,20,skilled,good
867,,existing paid,radio/tv,2389,<100,<1,female div/dep/mar,27,skilled,good
868,,critical/other existing credit,furniture/equipment,3331,<100,>=7,male single,42,skilled,good
869,,existing paid,business,7409,no known savings,>=7,male single,37,skilled,good
870,,existing paid,furniture/equipment,652,<100,>=7,female div/dep/mar,24,skilled,good
871,,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,female div/dep/mar,40,skilled,good
872,High,critical/other existing credit,new car,1343,<100,>=7,male single,46,skilled,good
873,,critical/other existing credit,business,1382,100<=X<500,4<=X<7,male single,26,skilled,good
874,,existing paid,domestic appliance,874,no known savings,<1,female div/dep/mar,24,skilled,good
875,,existing paid,furniture/equipment,3590,<100,1<=X<4,male single,29,unskilled resident,good
876,,critical/other existing credit,new car,1322,>=1000,1<=X<4,female div/dep/mar,40,skilled,good
877,,all paid,radio/tv,1940,<100,<1,male single,36,high qualify/self emp/mgm,good
878,,existing paid,radio/tv,3595,<100,>=7,male single,28,skilled,good
879,,existing paid,new car,1422,<100,<1,male single,27,high qualify/self emp/mgm,bad
880,,critical/other existing credit,radio/tv,6742,no known savings,4<=X<7,male single,36,skilled,good
881,,existing paid,used car,7814,<100,4<=X<7,male single,38,high qualify/self emp/mgm,good
882,,existing paid,used car,9277,no known savings,1<=X<4,male div/sep,48,skilled,good
883,,critical/other existing credit,new car,2181,no known savings,>=7,male single,36,skilled,good
884,,critical/other existing credit,radio/tv,1098,<100,unemployed,female div/dep/mar,65,enemy/unskilled non res,good
885,,existing paid,furniture/equipment,4057,<100,4<=X<7,male div/sep,43,skilled,bad
886,,existing paid,education,795,<100,<1,female div/dep/mar,53,skilled,bad
887,,critical/other existing credit,business,2825,no known savings,4<=X<7,male single,34,skilled,good
888,,existing paid,business,15672,<100,1<=X<4,male single,23,skilled,bad
889,,critical/other existing credit,new car,6614,<100,>=7,male single,34,high qualify/self emp/mgm,good
890,,all paid,used car,7824,no known savings,<1,male single,40,skilled,good
891,,critical/other existing credit,business,2442,<100,>=7,male single,43,high qualify/self emp/mgm,good
892,,critical/other existing credit,radio/tv,1829,<100,>=7,male single,46,skilled,good
893,,critical/other existing credit,new car,2171,<100,1<=X<4,male single,38,unskilled resident,good
894,,critical/other existing credit,used car,5800,<100,1<=X<4,male single,34,skilled,good
895,,critical/other existing credit,radio/tv,1169,no known savings,1<=X<4,male single,29,skilled,good
896,,delayed previously,used car,8947,no known savings,4<=X<7,male single,31,high qualify/self emp/mgm,good
897,,existing paid,radio/tv,2606,<100,<1,female div/dep/mar,28,high qualify/self emp/mgm,good
898,,critical/other existing credit,furniture/equipment,1592,>=1000,4<=X<7,female div/dep/mar,35,skilled,good
899,,existing paid,furniture/equipment,2186,no known savings,4<=X<7,female div/dep/mar,33,unskilled resident,good
900,,existing paid,furniture/equipment,4153,<100,1<=X<4,male single,42,skilled,bad
901,,critical/other existing credit,new car,2625,<100,>=7,male single,43,skilled,bad
902,,critical/other existing credit,new car,3485,no known savings,<1,male div/sep,44,skilled,good
903,,critical/other existing credit,used car,10477,no known savings,>=7,male single,42,skilled,good
904,,existing paid,radio/tv,1386,no known savings,1<=X<4,male mar/wid,40,skilled,good
905,,existing paid,radio/tv,1278,<100,>=7,male single,36,high qualify/self emp/mgm,good
906,,existing paid,radio/tv,1107,<100,1<=X<4,male single,20,high qualify/self emp/mgm,good
907,,existing paid,new car,3763,no known savings,4<=X<7,male single,24,unskilled resident,good
908,,existing paid,education,3711,no known savings,1<=X<4,male mar/wid,27,skilled,good
909,,delayed previously,used car,3594,<100,<1,female div/dep/mar,46,unskilled resident,good
910,,existing paid,new car,3195,no known savings,1<=X<4,female div/dep/mar,33,unskilled resident,good
911,,delayed previously,radio/tv,4454,<100,1<=X<4,female div/dep/mar,34,skilled,good
912,,critical/other existing credit,furniture/equipment,4736,<100,<1,female div/dep/mar,25,unskilled resident,bad
913,,existing paid,radio/tv,2991,no known savings,>=7,female div/dep/mar,25,skilled,good
914,,existing paid,business,2142,>=1000,>=7,male div/sep,28,skilled,good
915,,all paid,business,3161,<100,1<=X<4,male single,31,skilled,bad
916,,no credits/all paid,other,18424,<100,1<=X<4,female div/dep/mar,32,high qualify/self emp/mgm,bad
917,,existing paid,used car,2848,100<=X<500,1<=X<4,male single,32,skilled,good
918,,existing paid,new car,14896,<100,>=7,male single,68,high qualify/self emp/mgm,bad
919,,existing paid,furniture/equipment,2359,100<=X<500,unemployed,male div/sep,33,skilled,bad
920,,existing paid,furniture/equipment,3345,<100,>=7,male single,39,high qualify/self emp/mgm,bad
921,,critical/other existing credit,furniture/equipment,1817,<100,1<=X<4,female div/dep/mar,28,skilled,good
922,,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,male single,37,high qualify/self emp/mgm,good
923,,existing paid,radio/tv,1366,<100,<1,female div/dep/mar,22,skilled,bad
924,,existing paid,new car,2002,<100,4<=X<7,male single,30,skilled,good
925,,all paid,furniture/equipment,6872,<100,<1,male div/sep,55,skilled,bad
926,,all paid,new car,697,<100,<1,male single,46,skilled,bad
927,,critical/other existing credit,furniture/equipment,1049,<100,<1,female div/dep/mar,21,skilled,good
928,,existing paid,used car,10297,<100,4<=X<7,male single,39,skilled,bad
929,,existing paid,radio/tv,1867,no known savings,>=7,male single,58,skilled,good
930,,delayed previously,new car,1344,<100,1<=X<4,male single,43,unskilled resident,good
931,,existing paid,furniture/equipment,1747,<100,<1,male single,24,unskilled resident,good
932,,existing paid,radio/tv,1670,<100,<1,female div/dep/mar,22,skilled,bad
933,,critical/other existing credit,new car,1224,<100,1<=X<4,male single,30,skilled,good
934,,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,male single,42,skilled,good
935,,existing paid,radio/tv,1498,<100,1<=X<4,female div/dep/mar,23,skilled,good
936,,delayed previously,radio/tv,1919,100<=X<500,<1,male single,30,high qualify/self emp/mgm,bad
937,High,existing paid,radio/tv,745,<100,1<=X<4,female div/dep/mar,28,unskilled resident,bad
938,,existing paid,radio/tv,2063,<100,<1,male mar/wid,30,high qualify/self emp/mgm,good
939,,existing paid,education,6288,<100,1<=X<4,male single,42,skilled,bad
940,,critical/other existing credit,used car,6842,no known savings,1<=X<4,male single,46,high qualify/self emp/mgm,good
941,,existing paid,new car,3527,no known savings,<1,male single,45,high qualify/self emp/mgm,good
942,,existing paid,new car,1546,<100,1<=X<4,male single,31,unskilled resident,good
943,,existing paid,furniture/equipment,929,no known savings,4<=X<7,male single,31,skilled,good
944,,critical/other existing credit,new car,1455,<100,4<=X<7,male single,42,unskilled resident,good
945,,existing paid,furniture/equipment,1845,<100,<1,female div/dep/mar,46,skilled,good
946,,no credits/all paid,new car,8358,500<=X<1000,<1,female div/dep/mar,30,skilled,good
947,,all paid,furniture/equipment,3349,500<=X<1000,<1,male single,30,skilled,bad
948,,existing paid,new car,2859,no known savings,unemployed,male single,38,high qualify/self emp/mgm,good
949,,existing paid,furniture/equipment,1533,<100,<1,male mar/wid,43,unskilled resident,bad
950,,existing paid,radio/tv,3621,100<=X<500,>=7,male single,31,skilled,bad
951,,critical/other existing credit,business,3590,<100,unemployed,male mar/wid,40,enemy/unskilled non res,good
952,,delayed previously,business,2145,<100,4<=X<7,male single,24,skilled,bad
953,,existing paid,used car,4113,500<=X<1000,<1,female div/dep/mar,28,skilled,0
954,,existing paid,furniture/equipment,10974,<100,unemployed,female div/dep/mar,26,high qualify/self emp/mgm,bad
955,,existing paid,new car,1893,<100,1<=X<4,female div/dep/mar,29,skilled,good
956,,critical/other existing credit,radio/tv,1231,>=1000,>=7,female div/dep/mar,57,high qualify/self emp/mgm,good
957,High,critical/other existing credit,radio/tv,3656,no known savings,>=7,male single,49,unskilled resident,good
958,,critical/other existing credit,radio/tv,1154,<100,>=7,male single,37,unskilled resident,good
959,,existing paid,new car,4006,<100,1<=X<4,male single,45,unskilled resident,bad
960,,existing paid,furniture/equipment,3069,100<=X<500,>=7,male single,30,skilled,good
961,,critical/other existing credit,radio/tv,1740,<100,>=7,male mar/wid,30,skilled,good
962,,delayed previously,new car,2353,<100,1<=X<4,male div/sep,47,skilled,good
963,,existing paid,new car,3556,no known savings,1<=X<4,male single,29,skilled,good
964,,existing paid,radio/tv,2397,500<=X<1000,>=7,male single,35,skilled,bad
965,,existing paid,repairs,454,<100,<1,male mar/wid,22,unskilled resident,good
966,,existing paid,radio/tv,1715,no known savings,1<=X<4,female div/dep/mar,26,skilled,good
967,,critical/other existing credit,radio/tv,2520,500<=X<1000,1<=X<4,male single,23,unskilled resident,bad
968,,existing paid,radio/tv,3568,<100,>=7,female div/dep/mar,54,high qualify/self emp/mgm,good
969,,existing paid,radio/tv,7166,no known savings,4<=X<7,male mar/wid,29,skilled,good
970,,critical/other existing credit,new car,3939,<100,1<=X<4,male single,40,unskilled resident,good
971,,existing paid,repairs,1514,100<=X<500,1<=X<4,male single,22,skilled,good
972,,existing paid,new car,7393,<100,1<=X<4,male single,43,unskilled resident,good
973,,all paid,new car,1193,<100,unemployed,female div/dep/mar,29,enemy/unskilled non res,bad
974,,existing paid,business,7297,<100,>=7,male single,36,skilled,bad
975,,critical/other existing credit,radio/tv,2831,<100,1<=X<4,female div/dep/mar,33,skilled,good
976,High,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,female div/dep/mar,57,unskilled resident,good
977,,existing paid,radio/tv,753,<100,1<=X<4,female div/dep/mar,64,skilled,good
978,,delayed previously,business,2427,no known savings,>=7,male single,42,skilled,good
979,,delayed previously,new car,2538,<100,>=7,male single,47,unskilled resident,bad
980,,all paid,new car,1264,100<=X<500,1<=X<4,male mar/wid,25,skilled,bad
981,,critical/other existing credit,furniture/equipment,8386,<100,4<=X<7,male single,49,skilled,bad
982,,existing paid,business,4844,<100,unemployed,male single,33,high qualify/self emp/mgm,bad
983,High,existing paid,new car,2923,100<=X<500,1<=X<4,female div/dep/mar,28,high qualify/self emp/mgm,good
984,,existing paid,used car,8229,<100,1<=X<4,male single,26,skilled,bad
985,,critical/other existing credit,furniture/equipment,2028,<100,4<=X<7,male single,30,unskilled resident,good
986,,critical/other existing credit,furniture/equipment,1433,<100,1<=X<4,female div/dep/mar,25,skilled,good
987,High,no credits/all paid,business,6289,<100,<1,male div/sep,33,skilled,good
